infinitive,1p_sing,2p_sing,3p_sing,1p_plur,2p_plur,3p_plur,definition
заглядати,заглядаю,заглядаєш,заглядає,заглядаємо,заглядаєте,заглядають,"to look, to peep, to glance, to have a look (at/into)"
недооцінювати,недооцінюю,недооцінюєш,недооцінює,недооцінюємо,недооцінюєте,недооцінюють,"to underestimate, to underrate, to undervalue"
роззброювати,роззброюю,роззброюєш,роззброює,роззброюємо,роззброюєте,роззброюють,to disarm
обеззброювати,обеззброюю,обеззброюєш,обеззброює,обеззброюємо,обеззброюєте,обеззброюють,to disarm
промовляти,промовляю,промовляєш,промовляє,промовляємо,промовляєте,промовляють,"to utter, to say"
ігнорувати,ігнорую,ігноруєш,ігнорує,ігноруємо,ігноруєте,ігнорують,"to ignore, to disregard (deliberately pay no attention to)"
переміщати,переміщаю,переміщаєш,переміщає,переміщаємо,переміщаєте,переміщають,"to move, to relocate, to displace, to transfer, to shift (change the location of)"
співіснувати,співісную,співіснуєш,співіснує,співіснуємо,співіснуєте,співіснують,to coexist
заимати,заимаю,заимаєш,заимає,заимаємо,заимаєте,заимають,"to occupy, to take up, to take (:space, position, time, attention)"
перевозити,перевожу,перевозиш,перевозить,перевозимо,перевозите,перевозять,"to transport, to carry, to convey, to haul, to shift"
заиматися,заимаюсь,заимаєшся,заимається,заимаємось,заимаєтесь,заимаються,"to be occupied, to keep oneself occupied, to keep oneself busy, to busy oneself (with), to be engaged (in)"
заохочувати,заохочую,заохочуєш,заохочує,заохочуємо,заохочуєте,заохочують,"to encourage, to spur on, to stimulate"
випускати,випускаю,випускаєш,випускає,випускаємо,випускаєте,випускають,"to let out, to let go, to release, to set free"
пов'язувати,пов'язую,пов'язуєш,пов'язує,пов'язуємо,пов'язуєте,пов'язують,"to tie, to bind"
розробляти,розробляю,розробляєш,розробляє,розробляємо,розробляєте,розробляють,"to develop, to elaborate, to work out, to work up"
експлуатувати,експлуатую,експлуатуєш,експлуатує,експлуатуємо,експлуатуєте,експлуатують,to exploit
перевершувати,перевершую,перевершуєш,перевершує,перевершуємо,перевершуєте,перевершують,"to surpass, to outdo, to outclass, to outmatch, to outrival, to outshine, to outvie, to top"
стежити,стежу,стежиш,стежить,стежимо,стежите,стежать,"to watch, to track, to keep track (of), to keep a close watch (on), keep an eye on, to keep tabs on, to follow (+ за (za) + instrumental)"
збиратися,збираюсь,збираєшся,збирається,збираємось,збираєтесь,збираються,"to gather, to assemble, to congregate, convene"
змагатися,змагаюсь,змагаєшся,змагається,змагаємось,змагаєтесь,змагаються,"to compete, to contend, to vie"
оволодівати,оволодіваю,оволодіваєш,оволодіває,оволодіваємо,оволодіваєте,оволодівають,"to capture, to take hold of, to seize"
опановувати,опановую,опановуєш,опановує,опановуємо,опановуєте,опановують,to master (become proficient in)
запізнюватися,запізнююсь,запізнюєшся,запізнюється,запізнюємось,запізнюєтесь,запізнюються,to be late
знімати,знімаю,знімаєш,знімає,знімаємо,знімаєте,знімають,"to remove, to take away, to take off, to take down"
народжувати,народжую,народжуєш,народжує,народжуємо,народжуєте,народжують,"to give birth to, to bear, to beget"
зацікавлювати,зацікавлюю,зацікавлюєш,зацікавлює,зацікавлюємо,зацікавлюєте,зацікавлюють,to interest
зізнаватися,зізнаюсь,зізнаєшся,зізнається,зізнаємось,зізнаєтесь,зізнаються,to confess (admit to the truth)
контролювати,контролюю,контролюєш,контролює,контролюємо,контролюєте,контролюють,"to control, to check, to monitor"
виживати,виживаю,виживаєш,виживає,виживаємо,виживаєте,виживають,to survive (continue to live)
оприлюднювати,оприлюднюю,оприлюднюєш,оприлюднює,оприлюднюємо,оприлюднюєте,оприлюднюють,"to make public, to promulgate, to publish"
воювати,воюю,воюєш,воює,воюємо,воюєте,воюють,"to fight, to war, to wage war, to be at war"
завоиовувати,завоиовую,завоиовуєш,завоиовує,завоиовуємо,завоиовуєте,завоиовують,to conquer (attain by force of arms)
належати,належу,належиш,належить,належимо,належите,належать,to belong (+ dative) (be the property of)
хлорувати,хлорую,хлоруєш,хлорує,хлоруємо,хлоруєте,хлорують,to chlorinate
ув'язнювати,ув'язнюю,ув'язнюєш,ув'язнює,ув'язнюємо,ув'язнюєте,ув'язнюють,"to imprison, to jail, to incarcerate"
арештовувати,арештовую,арештовуєш,арештовує,арештовуємо,арештовуєте,арештовують,to arrest (take into legal custody)
поважати,поважаю,поважаєш,поважає,поважаємо,поважаєте,поважають,"to respect, to esteem"
покладати,покладаю,покладаєш,покладає,покладаємо,покладаєте,покладають,"to entrust, to charge"
відстоювати,відстоюю,відстоюєш,відстоює,відстоюємо,відстоюєте,відстоюють,"to defend, to stand up for"
знаиомити,знаиомлю,знаиомиш,знаиомить,знаиомимо,знаиомите,знаиомлять,to introduce (кого́сь з ки́мось — somebody to somebody)
дізнаватися,дізнаюсь,дізнаєшся,дізнається,дізнаємось,дізнаєтесь,дізнаються,"to learn, to get to know, to find out"
