infinitive,1p_sing,2p_sing,3p_sing,1p_plur,2p_plur,3p_plur,definition
присуджувати,присуджую,присуджуєш,присуджує,присуджуємо,присуджуєте,присуджують,to sentence (to assign punishment)
світити,свічу,світиш,світить,світимо,світите,світять,"to turn on, to ignite (:a source of light)"
опускати,опускаю,опускаєш,опускає,опускаємо,опускаєте,опускають,"to lower, to let down (to allow to descend)"
перегрівати,перегріваю,перегріваєш,перегріває,перегріваємо,перегріваєте,перегрівають,to overheat
іржати,іржу,іржеш,ірже,іржемо,іржете,іржуть,to neigh
мацькати,мацькаю,мацькаєш,мацькає,мацькаємо,мацькаєте,мацькають,"to dirty, to make dirty"
смалити,смалю,смалиш,смалить,смалимо,смалите,смалять,"to char, to scorch, to sear, to singe"
ляскати,ляскаю,ляскаєш,ляскає,ляскаємо,ляскаєте,ляскають,to slap (to cause something to strike soundly)
гуртувати,гуртую,гуртуєш,гуртує,гуртуємо,гуртуєте,гуртують,"to bring together, to gather, to group, to rally, to unite"
групувати,групую,групуєш,групує,групуємо,групуєте,групують,to group (to put together to form a group)
турбуватися,турбуюсь,турбуєшся,турбується,турбуємось,турбуєтесь,турбуються,"to worry, to be anxious, to be troubled"
покладатися,покладаюсь,покладаєшся,покладається,покладаємось,покладаєтесь,покладаються,"to rely, to rely on, to depend, to bank on, to pin one's hopes on"
наштовхуватися,наштовхуюсь,наштовхуєшся,наштовхується,наштовхуємось,наштовхуєтесь,наштовхуються,to bump into (to collide with)
стикатися,стикаюсь,стикаєшся,стикається,стикаємось,стикаєтесь,стикаються,to collide (to impact directly)
розпадатися,розпадаюсь,розпадаєшся,розпадається,розпадаємось,розпадаєтесь,розпадаються,to play up to
розвінчувати,розвінчую,розвінчуєш,розвінчує,розвінчуємо,розвінчуєте,розвінчують,"to uncrown, to discrown, to dethrone (to deprive of the status of crowned monarch)"
розсипатися,розсипаюсь,розсипаєшся,розсипається,розсипаємось,розсипаєтесь,розсипаються,"to scatter, to be scattered (to become loosely distributed as by sprinkling)"
розшукувати,розшукую,розшукуєш,розшукує,розшукуємо,розшукуєте,розшукують,"to search for, to look for"
прятати,прятаю,прятаєш,прятає,прятаємо,прятаєте,прятають,"to tidy, to clean up"
мацькатися,мацькаюсь,мацькаєшся,мацькається,мацькаємось,мацькаєтесь,мацькаються,to get dirty
танути,тану,танеш,тане,танемо,танете,тануть,"to thaw, to melt"
купляти,купляю,купляєш,купляє,купляємо,купляєте,купляють,"to buy, to purchase"
блищати,блищу,блищиш,блищить,блищимо,блищите,блищать,"to shine, to glitter, to sparkle, to flash"
забирати,забираю,забираєш,забирає,забираємо,забираєте,забирають,"to take (to get into one's hands, possession or control)"
вкласти,вкладу,вкладеш,вкладе,вкладемо,вкладете,вкладуть,"to put in, to insert, to enclose (to place inside)"
вкласти,вкладу,вкладеш,вкладе,вкладемо,вкладете,вкладуть,Alternative form of укла́сти pf (uklásty).
вкладати,вкладаю,вкладаєш,вкладає,вкладаємо,вкладаєте,вкладають,"to put in, to insert, to enclose (to place inside)"
вкладати,вкладаю,вкладаєш,вкладає,вкладаємо,вкладаєте,вкладають,Alternative form of уклада́ти impf (ukladáty).
відхилятися,відхиляюсь,відхиляєшся,відхиляється,відхиляємось,відхиляєтесь,відхиляються,to turn away (to rotate oneself so as not to face someone or something)
відштовхувати,відштовхую,відштовхуєш,відштовхує,відштовхуємо,відштовхуєте,відштовхують,"to push away, to push back"
вносити,вношу,вносиш,вносить,вносимо,вносите,вносять,"to bring in, to carry in"
ввозити,ввожу,ввозиш,ввозить,ввозимо,ввозите,ввозять,to bring in (by vehicle)
відвертатися,відвертаюсь,відвертаєшся,відвертається,відвертаємось,відвертаєтесь,відвертаються,"to turn away, to turn aside"
оплакувати,оплакую,оплакуєш,оплакує,оплакуємо,оплакуєте,оплакують,"to mourn, to weep over (to express sadness or sorrow for (especially a death))"
стримуватися,стримуюсь,стримуєшся,стримується,стримуємось,стримуєтесь,стримуються,"to restrain oneself, to contain oneself, to control oneself, to hold oneself in check"
роз'яснювати,роз'яснюю,роз'яснюєш,роз'яснює,роз'яснюємо,роз'яснюєте,роз'яснюють,"to explain, to explicate, to expound"
утримуватися,утримуюсь,утримуєшся,утримується,утримуємось,утримуєтесь,утримуються,"to hold on, to stay on (to grasp or grip firmly; to manage to maintain position)"
утримуватися,утримуюсь,утримуєшся,утримується,утримуємось,утримуєтесь,утримуються,to sustain oneself (provide for or nourish oneself; supply oneself with necessities)
агітувати,агітую,агітуєш,агітує,агітуємо,агітуєте,агітують,to agitate
склеювати,склеюю,склеюєш,склеює,склеюємо,склеюєте,склеюють,"to glue together, to paste together, to stick together"
липнути,липну,липнеш,липне,липнемо,липнете,липнуть,"to stick, to adhere"
клеіти,клею,клеіш,клеіть,клеімо,клеіте,клеять,to glue
митися,миюсь,миєшся,миється,миємось,миєтесь,миються,"to wash, to wash oneself"
заземлювати,заземлюю,заземлюєш,заземлює,заземлюємо,заземлюєте,заземлюють,"to earth (UK), to ground (US) (to connect electrically to the earth)"
розбиватися,розбиваюсь,розбиваєшся,розбивається,розбиваємось,розбиваєтесь,розбиваються,"to break, to break up, to shatter, to be shattered"
розвалювати,розвалюю,розвалюєш,розвалює,розвалюємо,розвалюєте,розвалюють,"to pull down, to tear down (to demolish or destroy)"
перетинатися,перетинаюсь,перетинаєшся,перетинається,перетинаємось,перетинаєтесь,перетинаються,"to intersect, to cross"
баидикувати,баидикую,баидикуєш,баидикує,баидикуємо,баидикуєте,баидикують,"to idle, to be bone-idle, to doss around, to laze about, to laze around, to loaf, to loaf about, to loaf around, to slack"
вітатися,вітаюсь,вітаєшся,вітається,вітаємось,вітаєтесь,вітаються,"to greet, to say hello ((to) somebody: з + instrumental / до + genitive)"
осеніти,осенію,осенієш,осеніє,осеніємо,осенієте,осеніють,to approach autumn
базуватися,базуюсь,базуєшся,базується,базуємось,базуєтесь,базуються,to be based (to have as its basis)
дерибанити,дерибаню,дерибаниш,дерибанить,дерибанимо,дерибаните,дерибанять,"to illegally acquire property, money, etc."
рибалити,рибалю,рибалиш,рибалить,рибалимо,рибалите,рибалять,to fish (to hunt for fish in a body of water)
рибачити,рибачу,рибачиш,рибачить,рибачимо,рибачите,рибачать,to fish (to hunt for fish in a body of water)
рибалчити,рибалчу,рибалчиш,рибалчить,рибалчимо,рибалчите,рибалчать,to fish (to hunt for fish in a body of water)
зношувати,зношую,зношуєш,зношує,зношуємо,зношуєте,зношують,"to wear out (to cause to become damaged by continued wearing: clothes, footwear, etc.)"
доварити,доварю,довариш,доварить,доваримо,доварите,доварять,"to finish boiling, to finish cooking (by boiling); to boil fully"
зносити,зношу,зносиш,зносить,зносимо,зносите,зносять,to bring together
товкти,товчу,товчеш,товче,товчемо,товчете,товчуть,"to crush, to pound, to mash, to pulp, to bray (using a pestle, masher, etc.)"
вискакувати,вискакую,вискакуєш,вискакує,вискакуємо,вискакуєте,вискакують,"to jump out, to leap out, to spring out"
виношувати,виношую,виношуєш,виношує,виношуємо,виношуєте,виношують,"to bear, to carry (:child in pregnancy, eggs)"
віддирати,віддираю,віддираєш,віддирає,віддираємо,віддираєте,віддирають,"to tear off, to rip off, to tear away, to rip away"
виносити,виношу,виносиш,виносить,виносимо,виносите,виносять,"to bring out, to carry out, to take out"
перенаправляти,перенаправляю,перенаправляєш,перенаправляє,перенаправляємо,перенаправляєте,перенаправляють,"to redirect, to reroute"
старішати,старішаю,старішаєш,старішає,старішаємо,старішаєте,старішають,"to age, to get old, to get older, to grow old"
блукати,блукаю,блукаєш,блукає,блукаємо,блукаєте,блукають,"to roam, to rove, to wander"
поклонятися,поклоняюсь,поклоняєшся,поклоняється,поклоняємось,поклоняєтесь,поклоняються,"to bow, to bow down (to bend oneself as a gesture of respect or deference)"
зіпати,зіпаю,зіпаєш,зіпає,зіпаємо,зіпаєте,зіпають,"to yell, to shout, to scream, to cry, to bawl"
позіхати,позіхаю,позіхаєш,позіхає,позіхаємо,позіхаєте,позіхають,to yawn
базарювати,базарюю,базарюєш,базарює,базарюємо,базарюєте,базарюють,Alternative form of базарува́ти (bazaruváty)
сіпати,сіпаю,сіпаєш,сіпає,сіпаємо,сіпаєте,сіпають,"to tug, to pull, to twitch"
витягувати,витягую,витягуєш,витягує,витягуємо,витягуєте,витягують,"to stretch out, to stretch"
висовувати,висовую,висовуєш,висовує,висовуємо,висовуєте,висовують,"to move out, to push out"
витягати,витягаю,витягаєш,витягає,витягаємо,витягаєте,витягають,"to stretch out, to stretch"
дзвеніти,дзвеню,дзвениш,дзвенить,дзвенимо,дзвените,дзвенять,"to ring, to jingle, to chime, to clink, to clank, to ding"
жадати,жадаю,жадаєш,жадає,жадаємо,жадаєте,жадають,"to covet, to crave, to thirst for, to hunger for, to ache"
вощити,вощу,вощиш,вощить,вощимо,вощите,вощать,"to wax, to polish with wax"
розвозити,розвожу,розвозиш,розвозить,розвозимо,розвозите,розвозять,"to deliver, to transport (multiple people or things to their respective destinations)"
розмазувати,розмазую,розмазуєш,розмазує,розмазуємо,розмазуєте,розмазують,"to smear, to spread"
вергти,вергну,вергнеш,вергне,вергнемо,вергнете,вергнуть,"to cast, to toss, to throw, to fling, to lob"
вергати,вергаю,вергаєш,вергає,вергаємо,вергаєте,вергають,"to cast, to toss, to throw, to fling, to lob"
сходити,сходжу,сходиш,сходить,сходимо,сходите,сходять,"to ascend, to climb, to go up, to rise"
уповати,уповаю,уповаєш,уповає,уповаємо,уповаєте,уповають,to hope (for: на (na) + accusative case)
ударяти,ударяю,ударяєш,ударяє,ударяємо,ударяєте,ударяють,"to hit, to strike, to smite (to deal a blow)"
повторюватися,повторююсь,повторюєшся,повторюється,повторюємось,повторюєтесь,повторюються,to repeat
повторятися,повторяюсь,повторяєшся,повторяється,повторяємось,повторяєтесь,повторяються,Synonym of повто́рюватися impf (povtórjuvatysja).
умовляти,умовляю,умовляєш,умовляє,умовляємо,умовляєте,умовляють,"to talk into, to persuade, to coax"
ремствувати,ремствую,ремствуєш,ремствує,ремствуємо,ремствуєте,ремствують,"to complain, to lament, to yammer, to grumble, to repine"
валити,валю,валиш,валить,валимо,валите,валять,"to topple, to bring down, to knock down"
валити,валю,валиш,валить,валимо,валите,валять,"to flock, to swarm, to crowd through (to go somewhere in large numbers; to move in a crowd)"
пазувати,пазую,пазуєш,пазує,пазуємо,пазуєте,пазують,Alternative form of па́зити (pázyty)
пазувати,пазую,пазуєш,пазує,пазуємо,пазуєте,пазують,"to groove, to mortise, to rabbet, to slot"
натякати,натякаю,натякаєш,натякає,натякаємо,натякаєте,натякають,"to hint, to allude (refer to something indirectly or by suggestion)"
ніжити,ніжу,ніжиш,ніжить,ніжимо,ніжите,ніжать,"to coddle, to pamper"
пазати,пазаю,пазаєш,пазає,пазаємо,пазаєте,пазають,Alternative form of па́зити (pázyty)
клопотати,клопочу,клопочеш,клопоче,клопочемо,клопочете,клопочуть,"to solicit, to apply, to intercede, to petition, to file, to plead, to inquest, to request"
ретушувати,ретушую,ретушуєш,ретушує,ретушуємо,ретушуєте,ретушують,"to retouch (to improve something, especially a photograph, by adding or correcting details, or by removing flaws)"
страикувати,страикую,страикуєш,страикує,страикуємо,страикуєте,страикують,to strike (to stop work as a form of protest)
поминати,поминаю,поминаєш,поминає,поминаємо,поминаєте,поминають,"to commemorate, to mention"
поминати,поминаю,поминаєш,поминає,поминаємо,поминаєте,поминають,"to pass (by), to go by, to go past"
закриватися,закриваюсь,закриваєшся,закривається,закриваємось,закриваєтесь,закриваються,to cover oneself
винуватити,винувачу,винуватиш,винуватить,винуватимо,винуватите,винуватять,"to blame, to accuse, to censure, to indict"
винити,виню,виниш,винить,винимо,вините,винять,"to blame, to accuse, to censure, to indict"
в'янути,в'яну,в'янеш,в'яне,в'янемо,в'янете,в'януть,"to wither, to wilt (of plants)"
віщати,віщаю,віщаєш,віщає,віщаємо,віщаєте,віщають,"to impart, to enunciate, to proclaim"
віщати,віщаю,віщаєш,віщає,віщаємо,віщаєте,віщають,"to foretell, to prophesy"
застарівати,застаріваю,застаріваєш,застаріває,застаріваємо,застаріваєте,застарівають,to get old
атакувати,атакую,атакуєш,атакує,атакуємо,атакуєте,атакують,"to attack, to assault"
передзвонювати,передзвонюю,передзвонюєш,передзвонює,передзвонюємо,передзвонюєте,передзвонюють,"to ring back, to return a telephone call (+ dative)"
пильнувати,пильную,пильнуєш,пильнує,пильнуємо,пильнуєте,пильнують,"to keep watch (over), to watch over, to guard"
володати,володаю,володаєш,володає,володаємо,володаєте,володають,"to own, to possess, to have, to be in possession of"
насилувати,насилую,насилуєш,насилує,насилуємо,насилуєте,насилують,"to force, to coerce, to compel"
стерегти,стережу,стережеш,стереже,стережемо,стережете,стережуть,"to guard, to watch over, to watch"
сочити,сочу,сочиш,сочить,сочимо,сочите,сочать,"to exude, to ooze, to emit (liquid)"
сочити,сочу,сочиш,сочить,сочимо,сочите,сочать,"to watch, to observe, to keep an eye on, to be on the watch for"
увінчуватися,увінчуюсь,увінчуєшся,увінчується,увінчуємось,увінчуєтесь,увінчуються,to be crowned
встромляти,встромляю,встромляєш,встромляє,встромляємо,встромляєте,встромляють,"to thrust into, to stick in, to put in, to insert"
встромити,встромлю,встромиш,встромить,встромимо,встромите,встромлять,"to thrust into, to stick in, to put in, to insert"
простромлювати,простромлюю,простромлюєш,простромлює,простромлюємо,простромлюєте,простромлюють,"to pierce, to impale, to stab through, to transfix"
простромити,простромлю,простромиш,простромить,простромимо,простромите,простромлять,"to pierce, to impale, to stab through, to transfix"
стромляти,стромляю,стромляєш,стромляє,стромляємо,стромляєте,стромляють,"to insert, to stick, to put"
кланятися,кланяюсь,кланяєшся,кланяється,кланяємось,кланяєтесь,кланяються,"to bow, to bow down (to bend oneself as a gesture of respect or deference) (to somebody: + dative case)"
рубити,рублю,рубиш,рубить,рубимо,рубите,рублять,to hem
рубити,рублю,рубиш,рубить,рубимо,рубите,рублять,"to build, to construct (out of logs, wood)"
рубати,рубаю,рубаєш,рубає,рубаємо,рубаєте,рубають,"to chop, to hack, to cut"
вертати,вертаю,вертаєш,вертає,вертаємо,вертаєте,вертають,"to return, to give back"
батькувати,батькую,батькуєш,батькує,батькуємо,батькуєте,батькують,"to curse (at) someone, especially when mentioning their father"
гудити,гуджу,гудиш,гудить,гудимо,гудите,гудять,"to condemn, to reprimand, to reproach, to criticize"
розщеплювати,розщеплюю,розщеплюєш,розщеплює,розщеплюємо,розщеплюєте,розщеплюють,"to split, to cleave"
ворожити,ворожу,ворожиш,ворожить,ворожимо,ворожите,ворожать,"to tell fortunes, to foretell"
проштовхувати,проштовхую,проштовхуєш,проштовхує,проштовхуємо,проштовхуєте,проштовхують,to push through
ґуґлити,ґуґлю,ґуґлиш,ґуґлить,ґуґлимо,ґуґлите,ґуґлять,to google
підштовхувати,підштовхую,підштовхуєш,підштовхує,підштовхуємо,підштовхуєте,підштовхують,"to nudge, to prod, to push (to exert slight pressure on)"
лабати,лабаю,лабаєш,лабає,лабаємо,лабаєте,лабають,to play a musical instrument
гуглити,гуглю,гуглиш,гуглить,гуглимо,гуглите,гуглять,to google
горіти,горю,гориш,горить,горимо,горите,горять,to fast and attend church services in preparation for communion
зводитися,зводжусь,зводишся,зводиться,зводимось,зводитесь,зводяться,"to climb, to go up, to rise (to move upwards)"
вхилитися,вхилюсь,вхилишся,вхилиться,вхилимось,вхилитесь,вхиляться,Alternative form of ухили́тися (uxylýtysja)
ухилятися,ухиляюсь,ухиляєшся,ухиляється,ухиляємось,ухиляєтесь,ухиляються,"to dodge, to avoid, to evade"
сікти,січу,січеш,січе,січемо,січете,січуть,"to slice, to cut up, to chop up, to shred"
милуватися,милуюсь,милуєшся,милується,милуємось,милуєтесь,милуються,"to feast one's eyes on, to admire"
вхилятися,вхиляюсь,вхиляєшся,вхиляється,вхиляємось,вхиляєтесь,вхиляються,Alternative form of ухиля́тися (uxyljátysja)
воскрешати,воскрешаю,воскрешаєш,воскрешає,воскрешаємо,воскрешаєте,воскрешають,"to raise from the dead, to resurrect, to revive"
воскресати,воскресаю,воскресаєш,воскресає,воскресаємо,воскресаєте,воскресають,"to rise from the dead, to resurrect, to revive"
милувати,милую,милуєш,милує,милуємо,милуєте,милують,"to spare, to show mercy, to have mercy, to mercy"
милувати,милую,милуєш,милує,милуємо,милуєте,милують,"to caress, to dandle, to pet, to fondle"
ганьбитися,ганьблюсь,ганьбишся,ганьбиться,ганьбимось,ганьбитесь,ганьбляться,Synonym of соро́митися impf (sorómytysja).
гримати,гримаю,гримаєш,гримає,гримаємо,гримаєте,гримають,"to make noise (with), to rattle"
громити,громлю,громиш,громить,громимо,громите,громлять,"to destroy, to smash"
виручати,виручаю,виручаєш,виручає,виручаємо,виручаєте,виручають,"to help out, to come to the aid/assistance/help/rescue of"
скандувати,скандую,скандуєш,скандує,скандуємо,скандуєте,скандують,to scan (to read or mark so as to show a specific metre)
спорити,спорю,спориш,спорить,споримо,спорите,спорять,"to argue, to quarrel, to bicker"
бентежити,бентежу,бентежиш,бентежить,бентежимо,бентежите,бентежать,"to agitate, to alarm, to bother, to disquiet, to disturb, to fluster, to perturb, to trouble, to worry (make restless or anxious)"
ковалювати,ковалюю,ковалюєш,ковалює,ковалюємо,ковалюєте,ковалюють,to work as a smith
зачісувати,зачісую,зачісуєш,зачісує,зачісуємо,зачісуєте,зачісують,"to comb, to style (:hair into a certain position or shape)"
перераховувати,перераховую,перераховуєш,перераховує,перераховуємо,перераховуєте,перераховують,to count
чумакувати,чумакую,чумакуєш,чумакує,чумакуємо,чумакуєте,чумакують,to work as a chumak
терзати,терзаю,терзаєш,терзає,терзаємо,терзаєте,терзають,"to torment, to torture, to anguish, to excruciate, to harrow"
теребити,тереблю,теребиш,теребить,теребимо,теребите,тереблять,"to peel, to pod"
кроіти,крою,кроіш,кроіть,кроімо,кроіте,кроять,"to cut, to cut out (fabric, leather, etc. to make clothes)"
краяти,краю,краєш,крає,краємо,краєте,крають,"to cut up, to slice, to carve up"
схрещувати,схрещую,схрещуєш,схрещує,схрещуємо,схрещуєте,схрещують,to cross (to place across or athwart; to cause to intersect)
наідатися,наідаюсь,наідаєшся,наідається,наідаємось,наідаєтесь,наідаються,to eat one's fill
підігрівати,підігріваю,підігріваєш,підігріває,підігріваємо,підігріваєте,підігрівають,"to warm up, to heat up"
змащувати,змащую,змащуєш,змащує,змащуємо,змащуєте,змащують,"to grease, to lubricate, to oil, to smear"
пророкувати,пророкую,пророкуєш,пророкує,пророкуємо,пророкуєте,пророкують,to prophesy (to speak or write with divine inspiration; to act as prophet)
розгортатися,розгортаюсь,розгортаєшся,розгортається,розгортаємось,розгортаєтесь,розгортаються,"to unfold, to unfurl, to unroll, to unwind"
опрацьовувати,опрацьовую,опрацьовуєш,опрацьовує,опрацьовуємо,опрацьовуєте,опрацьовують,to work on
подвоюватися,подвоююсь,подвоюєшся,подвоюється,подвоюємось,подвоюєтесь,подвоюються,"to double, to redouble (to increase by 100%, to become twice as big or great)"
стукати,стукаю,стукаєш,стукає,стукаємо,стукаєте,стукають,"to knock, to bang, to rap, to tap (to make a sharp noise by striking something)"
татуювати,татуюю,татуюєш,татуює,татуюємо,татуюєте,татуюють,to tattoo
цькувати,цькую,цькуєш,цькує,цькуємо,цькуєте,цькують,"to bait, to harass, to set upon, to sic (with dogs)"
животіти,животію,животієш,животіє,животіємо,животієте,животіють,"to eke out an existence, to scratch out an existence, to lead a meagre life"
трусити,трушу,трусиш,трусить,трусимо,трусите,трусять,to shake
тріпати,тріпаю,тріпаєш,тріпає,тріпаємо,тріпаєте,тріпають,"to ruffle, to tousle, to whiplash, to blow/toss around"
тріпати,тріпаю,тріпаєш,тріпає,тріпаємо,тріпаєте,тріпають,"to flap, to jerk, to shake"
сіяти,сію,сієш,сіє,сіємо,сієте,сіють,to sow
сіяти,сію,сієш,сіє,сіємо,сієте,сіють,"to sift, to sieve"
сіяти,сіяю,сіяєш,сіяє,сіяємо,сіяєте,сіяють,Alternative form of ся́яти (sjájaty)
ревти,реву,ревеш,реве,ревемо,ревете,ревуть,Alternative form of реві́ти impf (revíty).
ревіти,реву,ревеш,реве,ревемо,ревете,ревуть,to roar (to make a loud deep noise)
паяти,паяю,паяєш,паяє,паяємо,паяєте,паяють,to solder
стрягнути,стрягну,стрягнеш,стрягне,стрягнемо,стрягнете,стрягнуть,"to get stuck, to stick, to get bogged down (in)"
бракувати,бракую,бракуєш,бракує,бракуємо,бракуєте,бракують,"to consider defective, to reject (as defective)"
згладжувати,згладжую,згладжуєш,згладжує,згладжуємо,згладжуєте,згладжують,"to smooth, to smooth out, to smooth over (to make smooth or even; to remove roughness or unevenness)"
тулитися,тулюсь,тулишся,тулиться,тулимось,тулитесь,туляться,to huddle
оповивати,оповиваю,оповиваєш,оповиває,оповиваємо,оповиваєте,оповивають,"to wrap, to enswathe"
проганяти,проганяю,проганяєш,проганяє,проганяємо,проганяєте,проганяють,to drive through
відганяти,відганяю,відганяєш,відганяє,відганяємо,відганяєте,відганяють,"to drive away, to chase away, to drive off, to chase off (force to leave)"
гнутися,гнусь,гнешся,гнеться,гнемось,гнетесь,гнуться,to bend (to become curved)
відвозити,відвожу,відвозиш,відвозить,відвозимо,відвозите,відвозять,"to take away, to drive away, to take, to drive (by vehicle)"
замасковувати,замасковую,замасковуєш,замасковує,замасковуємо,замасковуєте,замасковують,"to mask, to disguise"
відсікати,відсікаю,відсікаєш,відсікає,відсікаємо,відсікаєте,відсікають,to cut off (to remove by cutting)
догоджати,догоджаю,догоджаєш,догоджає,догоджаємо,догоджаєте,догоджають,"to please, to satisfy, to pamper, to play to, to cater, to pander, to indulge"
остигати,остигаю,остигаєш,остигає,остигаємо,остигаєте,остигають,"to cool down, to cool off, to cool (to become cooler; to be reduced in temperature)"
притискувати,притискую,притискуєш,притискує,притискуємо,притискуєте,притискують,to press
буксирувати,буксирую,буксируєш,буксирує,буксируємо,буксируєте,буксирують,"to tow, to tug (to pull something behind one using a line or chain)"
розводити,розводжу,розводиш,розводить,розводимо,розводите,розводять,to bring
підбурювати,підбурюю,підбурюєш,підбурює,підбурюємо,підбурюєте,підбурюють,"to incite, to instigate, to rabble-rouse, to stir up (to rouse or goad into action)"
просушувати,просушую,просушуєш,просушує,просушуємо,просушуєте,просушують,"to dry, to dry thoroughly"
подрібнювати,подрібнюю,подрібнюєш,подрібнює,подрібнюємо,подрібнюєте,подрібнюють,to break up into small pieces
сохнути,сохну,сохнеш,сохне,сохнемо,сохнете,сохнуть,to dry (to lose moisture)
гледіти,гледжу,гледиш,гледить,гледимо,гледите,гледять,Alternative form of гляді́ти (hljadíty)
чіпляти,чіпляю,чіпляєш,чіпляє,чіпляємо,чіпляєте,чіпляють,"to hook (to), to attach (to), to hitch (to)"
кружляти,кружляю,кружляєш,кружляє,кружляємо,кружляєте,кружляють,to circle (to travel around along a curved path; to travel in circles)
моделювати,моделюю,моделюєш,моделює,моделюємо,моделюєте,моделюють,to model (to create a model of)
розплавляти,розплавляю,розплавляєш,розплавляє,розплавляємо,розплавляєте,розплавляють,"to melt, to melt down, to found, to fuse (heat to a molten state: metal, glass, etc.)"
голодувати,голодую,голодуєш,голодує,голодуємо,голодуєте,голодують,"to starve, to be starving"
плавити,плавлю,плавиш,плавить,плавимо,плавите,плавлять,"to melt, to fuse"
запускати,запускаю,запускаєш,запускає,запускаємо,запускаєте,запускають,"to launch (:aircraft, spacecraft, etc.)"
запускати,запускаю,запускаєш,запускає,запускаємо,запускаєте,запускають,to neglect
щедрувати,щедрую,щедруєш,щедрує,щедруємо,щедруєте,щедрують,to sing New Year carols (щедрівки)
ікати,ікаю,ікаєш,ікає,ікаємо,ікаєте,ікають,to hiccup
икати,икаю,икаєш,икає,икаємо,икаєте,икають,to hiccup
закреслювати,закреслюю,закреслюєш,закреслює,закреслюємо,закреслюєте,закреслюють,"to cross out, to strike through, to strike out (draw a line through)"
вирівнювати,вирівнюю,вирівнюєш,вирівнює,вирівнюємо,вирівнюєте,вирівнюють,"to level, to level out, to even out, to even up (to make level or even)"
лінуватися,лінуюсь,лінуєшся,лінується,лінуємось,лінуєтесь,лінуються,to be lazy
гамувати,гамую,гамуєш,гамує,гамуємо,гамуєте,гамують,"to hold back, to restrain, to contain, to check, to subdue, to repress, to temper, to withhold"
вичавлювати,вичавлюю,вичавлюєш,вичавлює,вичавлюємо,вичавлюєте,вичавлюють,to squeeze out
приберігати,приберігаю,приберігаєш,приберігає,приберігаємо,приберігаєте,приберігають,"to put aside, to put by, to save (to store or place in reserve for later use)"
зрізувати,зрізую,зрізуєш,зрізує,зрізуємо,зрізуєте,зрізують,"to cut, to cut away, to cut off (to remove via cutting)"
розрізувати,розрізую,розрізуєш,розрізує,розрізуємо,розрізуєте,розрізують,"to cut, to cut up (divide into pieces by cutting)"
розмахувати,розмахую,розмахуєш,розмахує,розмахуємо,розмахуєте,розмахують,"to sway, to swing"
зрізати,зрізаю,зрізаєш,зрізає,зрізаємо,зрізаєте,зрізають,Synonym of зрі́зувати impf (zrízuvaty).
розрізати,розрізаю,розрізаєш,розрізає,розрізаємо,розрізаєте,розрізають,Synonym of розрі́зувати impf (rozrízuvaty).
сходитися,сходжусь,сходишся,сходиться,сходимось,сходитесь,сходяться,"to come together, to converge (to approach each other)"
модулювати,модулюю,модулюєш,модулює,модулюємо,модулюєте,модулюють,to modulate (to move from one key or tonality to another)
звалювати,звалюю,звалюєш,звалює,звалюємо,звалюєте,звалюють,"to knock down, to knock over, to topple, to fell"
жбурляти,жбурляю,жбурляєш,жбурляє,жбурляємо,жбурляєте,жбурляють,"to fling, to hurl, to throw (to cast with force)"
відіимати,відіимаю,відіимаєш,відіимає,відіимаємо,відіимаєте,відіимають,"to take away, to remove"
віднімати,віднімаю,віднімаєш,віднімає,віднімаємо,віднімаєте,віднімають,"to take away, to remove"
прясти,пряду,прядеш,пряде,прядемо,прядете,прядуть,to spin (to make yarn by twisting and winding fibers together)
намагнічувати,намагнічую,намагнічуєш,намагнічує,намагнічуємо,намагнічуєте,намагнічують,to magnetize
магнітити,магнічу,магнітиш,магнітить,магнітимо,магнітите,магнітять,to magnetize
віршувати,віршую,віршуєш,віршує,віршуємо,віршуєте,віршують,"to versify, to write in verse, to poetize"
полірувати,полірую,поліруєш,полірує,поліруємо,поліруєте,полірують,"to polish, to buff, to burnish, to shine"
шліфувати,шліфую,шліфуєш,шліфує,шліфуємо,шліфуєте,шліфують,to grind (to remove material by rubbing with an abrasive surface)
піарити,піарю,піариш,піарить,піаримо,піарите,піарять,to promote
живати,живаю,живаєш,живає,живаємо,живаєте,живають,"to live, to dwell, to stay (to have reside somewhere permanently or temporarily)"
піддавати,піддаю,піддаєш,піддає,піддаємо,піддаєте,піддають,"to help lift, to give an extra lift up"
патрати,патраю,патраєш,патрає,патраємо,патраєте,патрають,"to gut, to disembowel, to eviscerate"
патрати,патраю,патраєш,патрає,патраємо,патраєте,патрають,"to look at, to watch, to stare at, to eye"
згасати,згасаю,згасаєш,згасає,згасаємо,згасаєте,згасають,"to go out, to be extinguished (of fire, light)"
відводити,відводжу,відводиш,відводить,відводимо,відводите,відводять,"to lead, to take (:somebody somewhere)"
виводити,виводжу,виводиш,виводить,виводимо,виводите,виводять,"to lead out, to bring out (to cause or help to leave a place or state)"
виводити,виводжу,виводиш,виводить,виводимо,виводите,виводять,to ride out (:horse for a specific purpose)
застрягати,застрягаю,застрягаєш,застрягає,застрягаємо,застрягаєте,застрягають,"to become stuck, to get stuck"
пліткувати,пліткую,пліткуєш,пліткує,пліткуємо,пліткуєте,пліткують,to gossip
зітхати,зітхаю,зітхаєш,зітхає,зітхаємо,зітхаєте,зітхають,"to sigh (to inhale a larger quantity of air than usual, and immediately expel it)"
